optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
adam,5,50,0.009112591,1.8205236196517944,Villano-Sisargas,COP
adam,5,100,0.009072355,0.22580215334892273,Villano-Sisargas,COP
adam,5,200,0.009112591,0.23472197353839874,Villano-Sisargas,COP
adam,10,10,0.008489709,3.534213066101074,Villano-Sisargas,COP
adam,10,50,0.009112591,0.9903965592384338,Villano-Sisargas,COP
adam,10,100,0.009112591,0.4834456741809845,Villano-Sisargas,COP
adam,10,200,0.009112591,0.3136719763278961,Villano-Sisargas,COP
adam,15,10,0.008873828,2.6807732582092285,Villano-Sisargas,COP
adam,15,50,0.009112591,2.0288076400756836,Villano-Sisargas,COP
adam,15,100,0.009112591,2.195340156555176,Villano-Sisargas,COP
adam,15,200,0.008873828,2.194589614868164,Villano-Sisargas,COP
sgd,1,10,0.006774547,0.24105893075466156,Villano-Sisargas,COP
sgd,1,50,0.007979716,0.22979006171226501,Villano-Sisargas,COP
sgd,1,100,0.0065679154,0.22504331171512604,Villano-Sisargas,COP
sgd,1,200,0.006865082,0.21897590160369873,Villano-Sisargas,COP
sgd,5,10,0.009112591,1.4960843324661255,Villano-Sisargas,COP
sgd,5,50,0.009072355,1.3526803255081177,Villano-Sisargas,COP
sgd,5,100,0.009112591,0.8806960582733154,Villano-Sisargas,COP
sgd,5,200,0.009072355,0.4829937517642975,Villano-Sisargas,COP
sgd,10,10,0.009032298,1.9543200731277466,Villano-Sisargas,COP
